,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
62,13666,2.066666666666667,opponent,4.3473043,13.567161,opponent,7.2375546,13.199501,teammate,2.401991,1.7230524,receiver,8.168518,1.8943483,6.13492825,7.8760159000000005,-0.006921000000010835,-6.77226000000001,0.07486199999999776,-0.2756399999999992,0.328229999999996,0.6886319999999979,-1.4844000000000257,-0.9996240000000012,undef,0,0,0,0,0,,T,0
63,13667,2.1,opponent,4.3470736,13.341419,opponent,7.24005,13.190313,teammate,2.412932,1.7460068,receiver,8.119038,1.8610275,6.3286107750000005,7.26387149,0.6470339999999908,-4.228620000000021,0.3371699999999933,1.5964200000000162,0.4918200000000006,0.639189,-0.4999799999999688,-0.08072100000000137,undef,0,0,0,0,0,,T,0
64,13668,2.1333333333333333,opponent,4.3686414,13.200465,opponent,7.251289,13.243527,teammate,2.429326,1.7673131,receiver,8.102372,1.8583368,6.522293299999999,6.651727080000001,-0.5310119999999952,0.373979999999996,0.009750000000003922,-0.3236100000000164,-0.026991000000005094,-0.10074300000000092,-0.31147500000001216,-0.29331600000000124,undef,0,0,0,0,0,,T,0
65,13669,2.1666666666666665,opponent,4.350941,13.212931,opponent,7.251614,13.23274,teammate,2.4284263,1.763955,receiver,8.0919895,1.8485596,6.715975825,6.03958267,-0.1295099999999838,-1.6383599999999632,0.26403000000000176,2.5841700000000323,0.5532839999999961,0.013092000000003434,-0.6425250000000027,-0.13284299999999805,undef,0,0,0,0,0,,T,0
66,13670,2.2,opponent,4.346624,13.158319,opponent,7.260415,13.318879,teammate,2.4468691,1.7643914,receiver,8.070572,1.8441315,6.909658349999999,5.427438260000001,0.662250000000002,-5.623170000000037,0.41856899999999087,0.5368799999999574,0.11609700000000611,0.41982299999999695,-0.447495,-0.03764400000000334,undef,0,0,0,0,0,,T,0
67,13671,2.2333333333333334,opponent,4.368699,12.97088,opponent,7.2743673,13.336775,teammate,2.450739,1.7783855,receiver,8.0556555,1.8428767,7.103340875,4.81529385,0.43223999999998597,-2.2217099999999945,-0.15452400000000033,-0.38166000000000366,0.2678970000000014,0.441414,-0.22240500000000551,-0.05238299999999585,undef,0,0,0,0,0,,T,0
68,13672,2.2666666666666666,opponent,4.383107,12.896823,opponent,7.2692165,13.324053,teammate,2.4596689,1.7930993,receiver,8.048242,1.8411306,7.2970234000000005,4.203149439999999,-0.01188000000000855,2.7399900000000166,-0.04367100000000512,0.2950799999999987,0.0876179999999982,0.6365550000000009,0.006240000000019563,0.5458949999999985,undef,0,0,0,0,0,,T,0
69,13673,2.3,opponent,4.382711,12.988156,opponent,7.2677608,13.333889,teammate,2.4625895,1.8143178,receiver,8.04845,1.8593271,7.490705924999999,3.59100503,-0.011009999999993525,1.5166499999999772,-0.08681399999999506,-0.13283999999996965,0.47239500000000323,-0.17519099999999677,0.15067499999997125,-1.9424819999999987,undef,0,0,0,0,0,,T,0
70,13674,2.3333333333333335,opponent,4.382344,13.038711,opponent,7.264867,13.329461,teammate,2.478336,1.8084781,receiver,8.0534725,1.7945777,7.68438845,2.97886062,0.0015810000000104907,0.03939000000004356,-0.0028199999999944936,-0.010860000000025849,0.003407999999991418,0.0029699999999954763,0.028964999999985253,0.025406999999999513,undef,0,0,0,0,0,,T,0
71,13675,2.3666666666666667,opponent,4.3823967,13.040024,opponent,7.264773,13.329099,teammate,2.4784496,1.8085771,receiver,8.054438,1.7954246,7.878070974999999,2.3667162100000008,0.14145899999999934,2.8989299999999574,-0.019871999999985235,0.07770000000004273,-0.3228300000000006,0.7268700000000017,0.5194650000000145,-1.225584000000004,undef,0,0,0,0,0,,T,0
